a,b,n_full,n_margin,effect_full,effect_margin,delta,abs_delta,sign_flip
GPT-4 0314,GPT-5.3-Codex,142,53,-0.5727699530516431,-0.8466981132075473,-0.27392816015590415,0.27392816015590415,False
GPT-4 0314,Gemini 3 Pro,142,53,-0.5293427230046948,-0.849056603773585,-0.3197138807688903,0.3197138807688903,False
GPT-4 0314,human,110,37,-0.3825131899811606,-0.5728831047796564,-0.19036991479849585,0.19036991479849585,False
GPT-4 0314,o1 (Inspect),142,53,-0.3427230046948357,-0.4528301886792453,-0.1101071839844096,0.1101071839844096,False
GPT-4 0314,o1-preview,140,53,-0.2225765306122449,-0.24966307277628036,-0.02708654216403547,0.02708654216403547,False
GPT-4 0314,o3 (Inspect),142,53,-0.46208920187793423,-0.7113207547169813,-0.24923155283904708,0.24923155283904708,False
GPT-4 1106 (Inspect),GPT-4 Turbo (Inspect),157,60,0.027600849256900217,0.015277777777777779,-0.012323071479122438,0.012323071479122438,False
GPT-4 1106 (Inspect),GPT-4o (Inspect),157,60,-0.05732484076433121,-0.07916666666666666,-0.02184182590233545,0.02184182590233545,False
GPT-4 1106 (Inspect),GPT-5 (Inspect),157,60,-0.5004632310364795,-0.8175,-0.3170367689635205,0.3170367689635205,False
GPT-4 1106 (Inspect),GPT-5.1-Codex-Max (Inspect),157,60,-0.5228237791932058,-0.826388888888889,-0.3035651096956832,0.3035651096956832,False
GPT-4 1106 (Inspect),GPT-5.2,157,60,-0.5772292993630573,-0.8979166666666667,-0.32068736730360936,0.32068736730360936,False
GPT-4 1106 (Inspect),GPT-5.3-Codex,157,60,-0.565552016985138,-0.85,-0.28444798301486196,0.28444798301486196,False
GPT-4 1106 (Inspect),Gemini 3 Pro,157,60,-0.5207006369426752,-0.8416666666666667,-0.32096602972399146,0.32096602972399146,False
GPT-4 1106 (Inspect),human,117,42,-0.3909668167914045,-0.591984322464618,-0.20101750567321347,0.20101750567321347,False
GPT-4 1106 (Inspect),o1 (Inspect),157,60,-0.31210191082802546,-0.4125,-0.10039808917197451,0.10039808917197451,False
GPT-4 1106 (Inspect),o1-preview,142,54,-0.2137407780013414,-0.2404100529100529,-0.026669274908711516,0.026669274908711516,False
GPT-4 1106 (Inspect),o3 (Inspect),157,60,-0.4535031847133758,-0.7158333333333334,-0.2623301486199576,0.2623301486199576,False
GPT-4 Turbo (Inspect),GPT-4o (Inspect),157,60,-0.08492569002123143,-0.09444444444444446,-0.009518754423213024,0.009518754423213024,False
GPT-4 Turbo (Inspect),GPT-5 (Inspect),157,60,-0.5280640802933797,-0.8327777777777778,-0.30471369748439814,0.30471369748439814,False
GPT-4 Turbo (Inspect),GPT-5.1-Codex-Max (Inspect),157,60,-0.5504246284501061,-0.8416666666666667,-0.2912420382165606,0.2912420382165606,False
GPT-4 Turbo (Inspect),GPT-5.2,157,60,-0.6048301486199577,-0.9131944444444445,-0.3083642958244869,0.3083642958244869,False
GPT-4 Turbo (Inspect),GPT-5.3-Codex,157,60,-0.5931528662420382,-0.8652777777777778,-0.2721249115357396,0.2721249115357396,False
GPT-4 Turbo (Inspect),Gemini 3 Pro,157,60,-0.5483014861995754,-0.8569444444444445,-0.3086429582448691,0.3086429582448691,False
GPT-4 Turbo (Inspect),human,117,42,-0.4322773581019458,-0.6078573383376339,-0.1755799802356881,0.1755799802356881,False
GPT-4 Turbo (Inspect),o1 (Inspect),157,60,-0.3397027600849257,-0.4277777777777778,-0.08807501769285209,0.08807501769285209,False
GPT-4 Turbo (Inspect),o1-preview,142,54,-0.24719148222669354,-0.25892857142857145,-0.01173708920187791,0.01173708920187791,False
